"","STAND","PLOT","TEST","pre","post","GRAV","GRAV.CORR","PRE.INCUB.EXTRACT.DRY.MASS","POST.INCUB.EXTRACT.DRY.MASS","TIME.INTERVAL","CORRECTED.PRE","CORRECTED.POST","TURNOVER"
"23","Stand_7","Plot_14","Nitrate",0,2.3485,0.120916792221302,0.120916792221302,26.6300676132401,26.4059013952565,27.1319444444444,0,5.33630713418147,0.196679863660643
"24","Stand_9","Plot_20","Nitrate",0.107353723404255,7.93,0.221772976428884,0.221772976428884,23.3942825555713,23.3491453882042,28.7673611111111,0.275333231055694,20.3776194841106,0.698787983208183
"25","Stand_100","Plot_69","Nitrate",0.257957446808511,13.5755,0.130029331846422,0.130029331846422,26.2992132982827,26.3705508930712,28.7534722222222,0.588513680351089,30.8878643947486,1.05376319354504
"26","Stand_20","Plot_27","Nitrate",0,0.032,0.117694636811999,0.117694636811999,26.5432745461478,26.4938654458093,27.7881944444444,0,0.0724696063670731,0.00260792785626853
"27","Stand_22","Plot_33","Nitrate",1.88095744680851,9.492,0.24869738139609,0.24869738139609,22.5458402816847,22.5526020052522,28.7708333333333,5.00568820671506,25.2529619361601,0.70374304056
"28","Stand_24","Plot_39","Nitrate",0.911457446808511,6.6095,0.167444235929722,0.167444235929722,24.9983193719742,25.1823141958337,27.1006944444444,2.1876449370361,15.7479569556642,0.500367695242138
"29","Stand_3","Plot_3","Nitrate",0,0.01,0.118886117997862,0.118886117997862,26.4862832929843,26.4668987875802,26.9618055555556,0,0.0226698263674758,0.000840812619939863
"30","Stand_31","Plot_45","Nitrate",0.00295744680851064,0.041,0.146408257040915,0.146408257040915,25.7511557015897,25.6162882062022,27.7673611111111,0.00689082892305622,0.0960326484539001,0.0032103093691238
"31","Stand_41","Plot_51","Nitrate",0.338957446808511,9.7615,0.0899133431486062,0.10064901378451,27.3426435184433,27.4463933973243,28.7604166666667,0.743799581587367,21.3394157666303,0.716109798538254
"32","Stand_50","Plot_57","Nitrate",0,0.0285,0.228712169611868,0.228712169611868,23.1448052142871,23.2550993740326,26.9861111111111,0,0.0735322594196026,0.00272481867123592
"33","Stand_58","Plot_63","Nitrate",0,0.092,0.116081526170114,0.116081526170114,26.676659540186,26.7093645237177,27.1354166666667,0,0.206669087731319,0.00761621206226744
"34","Stand_6","Plot_9","Nitrate",0.806457446808511,7.6145,0.187922156333351,0.187922156333351,24.3785768668728,24.3923821902151,27.1527777777778,1.98483476179705,18.7300279422184,0.616702766746976
"35","Stand_7","Plot_15","Nitrate",0,0.8135,0.114571670172869,0.114571670172869,26.7833215489409,26.6451947294879,27.1319444444444,0,1.83185000130559,0.0675163553079101
