"","STAND","PLOT","TEST","pre","post","GRAV","GRAV.CORR","PRE.INCUB.EXTRACT.DRY.MASS","POST.INCUB.EXTRACT.DRY.MASS","TIME.INTERVAL","CORRECTED.PRE","CORRECTED.POST","TURNOVER"
"38","Stand_20","Plot_28","Ammonium",0.511,4.5025,0.158154811870626,0.158154811870626,25.3311217108129,25.3799487317244,27.7881944444444,1.21036882416906,10.6442295394521,0.33949167637155
"39","Stand_22","Plot_34","Ammonium",0.6335,0.215,0.192012217125935,0.192012217125935,24.3947671405338,24.3697195192647,28.7673611111111,1.55812104214938,0.529345444037726,-0.03576190371227
"40","Stand_24","Plot_40","Ammonium",0.3345,0.168,0.190613777592959,0.190613777592959,24.3107245762179,24.344718797559,27.09375,0.825561572098661,0.414052841760929,-0.0151883268406083
"41","Stand_3","Plot_4","Ammonium",0,2.729,0.115347096801036,0.115347096801036,26.6138979398376,26.5891276585481,26.9722222222222,0,6.15815614948765,0.228314749105618
"42","Stand_31","Plot_46","Ammonium",0.607,3.869,0.152341331651828,0.152341331651828,25.478076594541,25.51452591728,27.7638888888889,1.42946426371147,9.09834659490109,0.276217872859256
"43","Stand_41","Plot_52","Ammonium",0.9515,4.9125,0.0864479597316697,0.101471133455738,27.4357948733385,27.5381127018486,28.7604166666667,2.08085824608198,10.7033478725001,0.299804057999328
"44","Stand_50","Plot_58","Ammonium",0.1225,3.0575,0.124319815603091,0.124319815603091,26.2905461761484,26.2730325724605,26.9791666666667,0.279568174459158,6.98244481271999,0.248446392769514
"45","Stand_58","Plot_64","Ammonium",1.111,4.618,0.120993234938345,0.120993234938345,26.4589826351209,26.3772350059702,27.1388888888889,2.51937124413534,10.5045126957881,0.294232438341351
"46","Stand_6","Plot_10","Ammonium",0,0.0955,0.162385869038958,0.162385869038958,25.1468514397124,25.4065118203103,27.1458333333333,0,0.225532731156717,0.00830818963585758
"47","Stand_7","Plot_16","Ammonium",1.0865,2.771,0.126851775650388,0.126851775650388,26.5419597237795,26.266044884885,27.1319444444444,2.45611102866662,6.32984527090622,0.14277392651203
"48","Stand_9","Plot_22","Ammonium",0.696,4.0815,0.133369950298961,0.133369950298961,26.011034311727,26.0318334329198,28.7638888888889,1.60547248908025,9.40732817114266,0.271237860506274
"49","Stand_100","Plot_71","Ammonium",1.3115,0.266,0.148190989807039,0.148190989807039,25.5644920139111,25.5568257328194,28.7534722222222,3.078097540807,0.624490700326081,-0.0853325407630122
"50","Stand_20","Plot_29","Ammonium",0,1.988,0.156965409936077,0.156965409936078,25.2918807365077,25.4090625445266,27.7847222222222,0,4.69438806689443,0.168955731475331
"51","Stand_22","Plot_35","Ammonium",1.0895,0.275,0.252703224565309,0.252703224565309,22.4824234889527,22.5541639793944,28.7708333333333,2.90760469093206,0.731572228306688,-0.0756332789326706
"52","Stand_24","Plot_41","Ammonium",0.0845,0.0755,0.177819493602309,0.177819493602309,24.8857595676453,24.7517441451025,27.0868055555556,0.203730972575643,0.183017405700532,-0.000764710583262656
"53","Stand_3","Plot_5","Ammonium",0.093,3.328,0.146358161726212,0.146358161726212,25.7748616648387,25.6451081054211,26.9861111111111,0.216490007688851,7.78628029872838,0.280506897043153
"54","Stand_31","Plot_47","Ammonium",0.8365,3.192,0.170128567471339,0.170128567471339,24.8969728472923,24.9857690905729,27.7673611111111,2.01590772933901,7.66516328978083,0.203449493736057
"55","Stand_41","Plot_53","Ammonium",0.878,3.2865,0.100331193713096,0.100331193713096,27.2851555570692,27.1457068920948,28.7638888888889,1.93072016356349,7.26413207008526,0.185420404282746
"56","Stand_50","Plot_59","Ammonium",0.0205,3.856,0.137263785542526,0.137263785542526,25.9588699568109,25.9088312563724,26.9722222222222,0.0473826480908612,8.9297737018954,0.329316249162681
"57","Stand_58","Plot_65","Ammonium",0.26,3.5705,0.111300613504981,0.111300613504981,26.7800673126409,26.7178583555863,27.1458333333333,0.582522807649419,8.01823249262073,0.273917164143226
"58","Stand_6","Plot_11","Ammonium",0.005,0.3625,0.169109148420401,0.169109148420401,25.0430502666091,25.0588371927891,27.1388888888889,0.0119793713947059,0.867957273223305,0.0315406391666628
"59","Stand_7","Plot_17","Ammonium",0.7305,2.9875,0.138566799706369,0.13856679970637,25.8955434340268,25.8920977012256,27.1319444444444,1.69256922959212,6.92296167226014,0.19277617398111
"60","Stand_9","Plot_23","Ammonium",1.555,6.158,0.147602424214908,0.147602424214908,25.8762332081081,25.6256283208272,28.7604166666667,3.60562525656808,14.4183781710322,0.375959536323273
"61","Stand_100","Plot_72","Ammonium",0.636,0.139,0.142840302095653,0.142840302095653,25.7439343668591,25.7422200474633,28.7534722222222,1.48229091389871,0.323981380961811,-0.0402841619956317
"62","Stand_20","Plot_30","Ammonium",0.1645,2.278,0.125130730030241,0.125130730030241,26.2871969547814,26.2662000923021,27.7881944444444,0.375467951831386,5.20364573176526,0.173749244111078
"63","Stand_22","Plot_36","Ammonium",0.789,0.303,0.240262013652058,0.240262013652058,23.090716619073,22.966119589312,28.7708333333333,2.05017456932874,0.791600859226592,-0.0437447777588002
"64","Stand_24","Plot_42","Ammonium",0.7015,0.2115,0.178248755363016,0.178248755363016,24.6566460953327,24.8587969015134,27.0833333333333,1.70704482017801,0.510483272793762,-0.0441807340572644
"65","Stand_3","Plot_6","Ammonium",0,4.3965,0.188954216344987,0.188954216344987,24.5268355435112,24.520347177242,26.9861111111111,0,10.7580042848998,0.398649669847033
"66","Stand_31","Plot_48","Ammonium",0.307,3.4055,0.135365295987498,0.135365295987498,25.9770850473516,26.0280984948884,27.7638888888889,0.709086487818922,7.85036217840225,0.257214532127063
"67","Stand_41","Plot_54","Ammonium",1.2055,1.293,0.106521870181809,0.106521870181809,26.8204265008824,26.8204265008824,28.7638888888889,2.69682512310608,2.89257145099641,0.0068052803515708
"68","Stand_50","Plot_60","Ammonium",0.0375,1.985,0.130280666547014,0.130280666547014,26.0941891615899,26.1924674462701,26.9652777777778,0.0862260937125399,4.54710882983116,0.165430624259871
"69","Stand_58","Plot_66","Ammonium",1.147,4.0565,0.105161227913319,0.105161227913319,26.8764825196235,26.8496373564609,27.1354166666667,2.5606029341731,9.06492690268804,0.239698695192873
"70","Stand_6","Plot_12","Ammonium",0.0674999999999999,0.1265,0.215065554983402,0.215065554983402,23.6736228617006,23.5582374982832,27.1388888888889,0.171076477126453,0.322180298952888,0.00556779691479187
"71","Stand_7","Plot_18","Ammonium",1.0895,4.8295,0.120330844597945,0.120330844597945,26.5061909905747,26.4155850675683,27.1284722222222,2.46621628974321,10.9696604962108,0.313450906369214
"72","Stand_9","Plot_24","Ammonium",1.6435,6.591,0.127445502638808,0.127445502638808,26.4567249144887,26.3127534224241,28.7604166666667,3.72721870597057,15.0292139196266,0.392970496382102
