PLOT,STAND,N.MIN,N.INORG,SPEC.TOTAL.C,SPEC.TOTAL.N,SOIL.CN,LON,LAT,SOIL.PH,AMM.CORRECTED.PRE,AMM.CORRECTED.POST,AMM.TURNOVER,NIT.CORRECTED.PRE,NIT.CORRECTED.POST,NIT.TURNOVER
Plot_45,Stand_31,0.4054379676,2.848316699,25.604,0.96095,26.64446641,-85.99243982,44.2719115,3.93,2.84142587,14.01022651,0.4022276582,0.006890828923,0.09603264845,0.003210309369
Plot_46,Stand_31,0.2755503572,1.447997093,25.176,0.9852,25.55420219,-85.99250778,44.2718292,3.9,1.429464264,9.098346595,0.2762178729,0.01853282956,0,-0.000667515622
Plot_47,Stand_31,0.2029599146,2.029502051,27.9405,1.02945,27.1411919,-85.99264888,44.27187942,3.9,2.015907729,7.66516329,0.2034494937,0.01359432124,0,-0.0004895791569
Plot_48,Stand_31,0.2590826791,0.7090864878,21.226,0.8892,23.87089519,-85.99267871,44.27200379,4.26,0.7090864878,7.850362178,0.2572145321,0,0.05186702364,0.001868146925
Plot_49,Stand_41,0.5675613773,3.260222937,11.467,0.7477,15.33636485,-85.4818293,44.34678474,3.94,2.166908928,3.632775851,0.05096205624,1.093314009,15.95271948,0.5165993211
Plot_5,Stand_3,0.2778228284,0.300620719,26.824,1.0995,24.39654388,-86.17811065,44.2641449,3.94,0.2164900077,7.786280299,0.280506897,0.08413071135,0.01169813747,-0.002684068615
Plot_50,Stand_41,0.4787754933,2.141509903,17.291,1.02025,16.94780691,-85.48173372,44.34678693,4.06,0.7813602121,0.4050997062,-0.01308258188,1.360149691,15.50619287,0.4918580752
Plot_51,Stand_41,0.7236105222,2.374219843,12.239,0.79875,15.32269171,-85.48167381,44.34670394,4.3,1.630420262,1.846144201,0.007500723703,0.7437995816,21.33941577,0.7161097985
Plot_52,Stand_41,0.6338622603,2.385649155,9.88995,0.62905,15.72204117,-85.4818063,44.34659134,4.24,2.080858246,10.70334787,0.299804058,0.3047909087,9.912443999,0.3340582023
Plot_53,Stand_41,0.3812009105,2.124541945,11.3205,0.6984,16.20919244,-85.48197066,44.34664385,3.87,1.930720164,7.26413207,0.1854204043,0.1938217811,5.82523051,0.1957805063
Plot_54,Stand_41,0.6831307963,3.478769231,14.3345,0.9371,15.29665991,-85.48195455,44.34676935,4.29,2.696825123,2.892571451,0.006805280352,0.7819441077,20.2356961,0.676325516
Plot_55,Stand_50,0.3439799432,2.90467252,20.7705,0.85005,24.43444503,-86.08368779,44.25664579,4.4,2.769277949,12.03332836,0.3428924969,0.1353945713,0.1647744987,0.001087446225
Plot_56,Stand_50,0.1833695441,0.872027577,29.71,1.1572,25.67404079,-86.0835598,44.25665989,4.05,0.872027577,5.821731867,0.1833695441,0,0,0
Plot_57,Stand_50,0.1462366842,0.2449793786,59.469,1.73855,34.20609128,-86.08354684,44.2566,3.67,0.2449793786,4.117806527,0.1435118655,0,0.07353225942,0.002724818671
Plot_58,Stand_50,0.2454967387,0.3591473828,22.909,0.9019,25.40082049,-86.08369037,44.2564552,3.94,0.2795681745,6.982444813,0.2484463928,0.07957920832,0,-0.002949654054
Plot_59,Stand_50,0.3267333599,0.1170489105,24.35,0.9615,25.325013,-86.08375255,44.25657574,3.93,0.04738264809,8.929773702,0.3293162492,0.06966626243,0,-0.002582889235
Plot_6,Stand_3,0.3976042247,0.04534113119,36.6095,1.1588,31.59259579,-86.17806476,44.26424309,3.79,0,10.75800428,0.3986496698,0.04534113119,0.01712863186,-0.001045445163
Plot_60,Stand_50,0.1651718624,0.09320368044,23.466,0.84495,27.77205752,-86.08380583,44.25665938,4.13,0.08622609371,4.54710883,0.1654306243,0.006977586732,0,-0.0002587619082
Plot_61,Stand_58,0.2262897832,0.9985130395,18.792,0.8535,22.01757469,-85.89663488,44.31024845,4.2,0.9011156921,7.044027139,0.226379846,0.09739734734,0.09495345545,-0.00009006281056
Plot_62,Stand_58,0.2813384326,0.9032040823,14.7005,0.73105,20.10874769,-85.89653825,44.31013126,4.37,0.9032040823,8.341022764,0.2741000359,0,0.1964169128,0.007238396787
Plot_63,Stand_58,0.3033441222,2.304261518,16.4565,0.7664,21.47246868,-85.89649246,44.31006957,4.46,2.304261518,10.32896158,0.2957279102,0,0.2066690877,0.007616212062
Plot_64,Stand_58,0.3336681377,2.519371244,16.9115,0.8013,21.10507925,-85.89658333,44.31001991,4.44,2.519371244,10.5045127,0.2942324383,0,1.070241062,0.03943569931
Plot_65,Stand_58,0.3142051346,0.5825228076,15.973,0.75175,21.24775524,-85.89665714,44.3100694,4.61,0.5825228076,8.018232493,0.2739171641,0,1.093650532,0.04028797047
Plot_66,Stand_58,0.2906734753,2.600863949,13.828,0.67145,20.59423635,-85.89674174,44.3101414,4.31,2.560602934,9.064926903,0.2396986952,0.04026101508,1.423482913,0.05097478012
Plot_67,Stand_100,0.5266320274,2.860938544,17.4225,1.12145,15.5356904,-85.48411084,44.34696883,4.4,1.694071996,0.538522599,-0.04017846509,1.166866547,17.46857248,0.5668104925
Plot_68,Stand_100,0.7647350752,2.540091487,19.0705,1.2532,15.21744335,-85.48395844,44.34695853,4.23,1.192189986,0.4039675806,-0.02740981076,1.347901501,24.12756798,0.7921448859
Plot_69,Stand_100,1.027248449,3.597729169,20.309,1.45015,14.00475813,-85.48402457,44.34687044,4.44,3.009215489,2.246824507,-0.02651474494,0.5885136804,30.88786439,1.053763194
Plot_7,Stand_6,0.3019163776,0.8537337389,22.259,1.4864,14.97510764,-85.66858089,44.2194918,5.09,0.7546614856,0.5632243545,-0.007053978217,0.09907225337,8.48418441,0.3089703558
Plot_70,Stand_100,0.8605032164,4.357517226,25.705,1.87875,13.68196939,-85.48403334,44.34677292,4.74,4.163383856,5.103562623,0.03269397309,0.1941333708,23.99939779,0.8278092433
Plot_71,Stand_100,0.664734255,3.489154308,27.6215,1.71265,16.1279304,-85.48422904,44.34679866,5.18,3.078097541,0.6244907003,-0.08533254076,0.4110567674,21.97808155,0.7500667958
Plot_72,Stand_100,0.5635841061,2.77005346,22.831,1.71405,13.31991482,-85.48426826,44.34695389,5.38,1.482290914,0.323981381,-0.040284162,1.287762546,18.65107202,0.6038682681
Plot_8,Stand_6,0.4934859517,2.147249347,18.7675,1.1805,15.89792461,-85.66846135,44.21952809,4.63,1.428562062,0.2738757275,-0.04253641139,0.7186872854,15.26946102,0.5360223631
Plot_9,Stand_6,0.5695178748,3.54522117,26.105,1.7736,14.71865133,-85.66850848,44.21944156,5.13,1.560386408,0.2791855239,-0.04718489191,1.984834762,18.73002794,0.6167027667
